PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Jerami Grant,POR,Forward,PF,4.5 ,153,"$32,000,001 ","$12,077,280 ","($19,922,721)"
Naji Marshall,DAL,Forward,SF,4.5 ,154,"$9,000,000 ","$12,077,280 ","$3,077,280 "
Luke Kornet,SAS,Center,C,4.5 ,155,"$11,000,000 ","$11,585,295 ","$585,295 "
Bennedict Mathurin,IND,Wing,SF,4.5 ,156,"$9,187,573 ","$11,585,295 ","$2,397,722 "
Dennis Schröder,SAC,Point,PG,4.5 ,157,"$14,104,000 ","$11,585,295 ","($2,518,705)"
Buddy Hield,GSW,Wing,SG,4.5 ,158,"$9,219,512 ","$11,585,295 ","$2,365,783 "
Royce O'Neale,PHX,Forward,SF,4.5 ,159,"$10,125,000 ","$11,585,295 ","$1,460,295 "
Obi Toppin,IND,Forward,PF,4.4 ,160,"$14,000,000 ","$11,102,772 ","($2,897,228)"
Kelly Oubre Jr.,PHI,Forward,PF,4.4 ,161,"$8,382,150 ","$11,102,772 ","$2,720,622 "
Zach Edey,MEM,Center,C,4.4 ,162,"$6,045,000 ","$11,102,772 ","$5,057,772 "
Stephon Castle,SAS,Combo,SG,4.4 ,163,"$9,560,520 ","$11,102,772 ","$1,542,252 "
Jaden Ivey,DET,Combo,SG,4.4 ,164,"$10,107,163 ","$11,102,772 ","$995,609 "
Jared McCain,PHI,Combo,SG,4.3 ,165,"$4,221,360 ","$10,629,983 ","$6,408,623 "
T.J. McConnell,IND,Point,PG,4.3 ,166,"$10,200,000 ","$10,629,983 ","$429,983 "
Goga Bitadze,ORL,Center,C,4.3 ,167,"$8,333,333 ","$10,629,983 ","$2,296,650 "
Kris Dunn,LAC,Combo,SG,4.3 ,168,"$5,426,400 ","$10,629,983 ","$5,203,583 "
Cason Wallace,OKC,Combo,SG,4.3 ,169,"$5,820,240 ","$10,629,983 ","$4,809,743 "
Derrick Jones Jr.,LAC,Forward,SF,4.3 ,170,"$10,000,000 ","$10,629,983 ","$629,983 "
Moses Moody,GSW,Wing,SF,4.3 ,171,"$11,574,075 ","$10,629,983 ","($944,092)"
Steven Adams,HOU,Center,C,4.3 ,172,"$14,130,435 ","$10,629,983 ","($3,500,452)"
Tyus Jones,ORL,Point,PG,4.3 ,173,"$7,000,000 ","$10,167,188 ","$3,167,188 "
Kevin Huerter,CHI,Wing,SF,4.3 ,174,"$17,991,071 ","$10,167,188 ","($7,823,883)"
