Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
177,Guerschon Yabusele,NYK,C,Big,4.2 ,"$5,500,000 ","$9,714,632 ","$4,214,632"
178,Kentavious Caldwell-Pope,MEM,SG,Wing,4.2 ,"$21,621,500 ","$9,714,632 ","-$11,906,868"
179,Kel'el Ware,MIA,C,Center,4.2 ,"$4,443,360 ","$9,714,632 ","$5,271,272"
180,Jose Alvarado,NOP,PG,Point,4.2 ,"$4,500,000 ","$9,714,632 ","$5,214,632"
181,Sam Hauser,BOS,SF,Forward,4.2 ,"$10,044,644 ","$9,714,632 ","-$330,012"
182,Jonathan Isaac,ORL,PF,Big,4.2 ,"$15,000,000 ","$9,714,632 ","-$5,285,368"
183,Zaccharie Risacher,ATL,SF,Forward,4.2 ,"$13,197,720 ","$9,714,632 ","-$3,483,088"
184,Isaiah Joe,OKC,SG,Wing,4.1 ,"$12,362,338 ","$9,272,546 ","-$3,089,792"
185,Duncan Robinson,DET,SF,Wing,4.1 ,"$16,834,692 ","$9,272,546 ","-$7,562,146"
186,Lonzo Ball,CLE,PG,Point,4.1 ,"$10,000,000 ","$9,272,546 ","-$727,454"
187,Tre Jones,CHI,PG,Point,4.1 ,"$8,000,000 ","$9,272,546 ","$1,272,546"
188,Nikola Jović,MIA,PF,Forward,4.1 ,"$4,445,417 ","$9,272,546 ","$4,827,129"
189,Brandon Clarke,MEM,C,Big,4.1 ,"$12,500,000 ","$9,272,546 ","-$3,227,454"
190,Davion Mitchell,MIA,PG,Point,4.1 ,"$11,600,000 ","$8,841,141 ","-$2,758,859"
191,Miles McBride,NYK,SG,Combo,4.1 ,"$4,333,333 ","$8,841,141 ","$4,507,808"
192,Keldon Johnson,SAS,SF,Forward,4.1 ,"$17,500,000 ","$8,841,141 ","-$8,658,859"
193,Sam Merrill,CLE,SG,Wing,4.1 ,"$8,482,144 ","$8,841,141 ","$358,997"
194,Kevin Porter Jr.,MIL,PG,Combo,4.1 ,"$5,134,000 ","$8,841,141 ","$3,707,141"
195,Jeremy Sochan,SAS,PF,Forward,4.0 ,"$7,096,231 ","$8,420,615 ","$1,324,384"
196,Matisse Thybulle,POR,SF,Wing,4.0 ,"$11,550,000 ","$8,420,615 ","-$3,129,385"
197,Luke Kennard,ATL,PG,Combo,4.0 ,"$11,000,000 ","$8,420,615 ","-$2,579,385"
198,Nicolas Batum,LAC,PF,Big,4.0 ,"$5,601,600 ","$8,420,615 ","$2,819,015"
199,Jonas Valančiūnas,DEN,C,Center,4.0 ,"$10,395,000 ","$8,420,615 ","-$1,974,385"
201,Clint Capela,HOU,C,Center,4.0 ,"$6,700,000 ","$8,420,615 ","$1,720,615"
202,Moritz Wagner,ORL,C,Center,4.0 ,"$5,000,000 ","$8,420,615 ","$3,420,615"
203,Chris Boucher,BOS,PF,Big,3.9 ,"$2,296,274 ","$8,011,144 ","$5,714,870"
204,Tim Hardaway Jr.,DEN,SF,Wing,3.9 ,"$2,296,274 ","$8,011,144 ","$5,714,870"
205,Malcolm Brogdon,NYK,PG,Combo,3.9 ,"$2,296,274 ","$8,011,144 ","$5,714,870"
206,Robert Williams III,POR,C,Big,3.9 ,"$13,285,713 ","$8,011,144 ","-$5,274,569"
207,Jordan Clarkson,NYK,SG,Combo,3.9 ,"$2,296,274 ","$7,612,887 ","$5,316,613"
208,Bilal Coulibaly,WAS,SF,Wing,3.9 ,"$7,275,600 ","$7,612,887 ","$337,287"
209,Julian Champagnie,SAS,SF,Wing,3.9 ,"$3,000,000 ","$7,612,887 ","$4,612,887"
210,Kelly Olynyk,SAS,C,Big,3.8 ,"$13,445,122 ","$7,225,985 ","-$6,219,137"
211,Dylan Harper,SAS,PG,Combo,3.8 ,"$12,370,320 ","$7,225,985 ","-$5,144,335"
212,Dean Wade,CLE,PF,Forward,3.8 ,"$6,623,456 ","$7,225,985 ","$602,529"
213,Kon Knueppel,CHA,SG,Wing,3.8 ,"$10,015,680 ","$7,225,985 ","-$2,789,695"
214,Ayo Dosunmu,CHI,SG,Wing,3.8 ,"$7,518,518 ","$7,225,985 ","-$292,533"
215,Bogdan Bogdanović,LAC,SG,Wing,3.8 ,"$16,020,000 ","$7,225,985 ","-$8,794,015"
216,Justin Champagnie,WAS,SF,Forward,3.8 ,"$2,349,578 ","$7,225,985 ","$4,876,407"
217,Ochai Agbaji,TOR,SG,Wing,3.8 ,"$6,383,525 ","$7,225,985 ","$842,460"
218,AJ Green,MIL,SG,Wing,3.7 ,"$2,301,587 ","$6,850,557 ","$4,548,970"
219,VJ Edgecombe,PHI,SG,Combo,3.7 ,"$11,108,880 ","$6,850,557 ","-$4,258,323"
220,Jaylin Williams,OKC,C,Center,3.7 ,"$8,450,704 ","$6,850,557 ","-$1,600,147"
